chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-14.233972549438477,-17.47475814819336,-1.0459506511688232,7.86593770980835,0.0,0.0,0.0,179369264.0,122230.0,405.0,0.0
0.0,-15.044179916381836,-17.06966209411621,-1.0293596982955933,7.867039680480957,0.0,0.0,0.0,179375536.0,128495.0,405.0,0.0
0.0,-10.993218421936035,-17.06966209411621,-1.0293596982955933,7.865401268005371,0.0,0.0,0.0,179382096.0,135050.0,405.0,0.0
0.0,-13.42378044128418,-17.06966209411621,-1.0327192544937134,7.865401268005371,0.0,0.0,0.0,179388560.0,141526.0,405.0,0.0
0.0,-10.183025360107422,-15.854372024536133,-1.0327192544937134,7.864162921905518,0.0,0.0,0.0,179395072.0,148031.0,405.0,0.0
0.0,-15.449275970458984,-14.233972549438477,-1.039024829864502,7.864162921905518,0.0,0.0,0.0,179401632.0,154584.0,405.0,0.0
0.0,-13.42378044128418,-16.259469985961914,-1.039024829864502,7.867176055908203,0.0,0.0,0.0,179408144.0,161097.0,405.0,0.0
0.0,-14.233972549438477,-17.06966209411621,-1.022227168083191,7.867176055908203,0.0,0.0,0.0,179414688.0,167647.0,405.0,0.0
0.0,-13.42378044128418,-16.259469985961914,-1.022227168083191,7.867946147918701,0.0,0.0,0.0,179421200.0,174165.0,405.0,0.0
0.0,-12.20850658416748,-17.879852294921875,-1.0283777713775635,7.867946147918701,0.0,0.0,0.0,179427712.0,180673.0,405.0,0.0
0.0,-12.20850658416748,-15.449275970458984,-1.0283777713775635,7.866142272949219,0.0,0.0,0.0,179433040.0,185997.0,405.0,0.0
0.0,-13.42378044128418,-18.284950256347656,-1.0365439653396606,7.866142272949219,0.0,0.0,0.0,179439248.0,192212.0,405.0,0.0
0.0,-12.613602638244629,-16.259469985961914,-1.0365439653396606,7.864943027496338,0.0,0.0,0.0,179445216.0,198177.0,405.0,0.0
0.0,-12.613602638244629,-17.06966209411621,-1.0387147665023804,7.865752220153809,0.0,0.0,0.0,179451184.0,204147.0,405.0,0.0
0.0,-12.613602638244629,-17.879852294921875,-1.0387147665023804,7.865752220153809,0.0,0.0,0.0,179457104.0,210066.0,405.0,0.0
0.0,-10.993218421936035,-18.284950256347656,-1.034683346748352,7.866415500640869,0.0,0.0,0.0,179463616.0,216583.0,405.0,0.0
0.0,-14.233972549438477,-17.879852294921875,-1.034683346748352,7.866415500640869,0.0,0.0,0.0,179470144.0,223101.0,405.0,0.0
0.0,-11.398314476013184,-16.259469985961914,-1.0466225147247314,7.865908622741699,0.0,0.0,0.0,179476640.0,229605.0,405.0,0.0
0.0,-13.42378044128418,-17.47475814819336,-1.042332649230957,7.865908622741699,0.0,0.0,0.0,179483200.0,236154.0,405.0,0.0
0.0,-13.42378044128418,-16.66456413269043,-1.042332649230957,7.864192485809326,0.0,0.0,0.0,179489728.0,242681.0,405.0,0.0
0.0,-11.398314476013184,-11.803409576416016,-1.0343215465545654,7.864192485809326,0.0,0.0,0.0,179495088.0,248049.0,405.0,0.0
0.0,-13.42378044128418,-17.06966209411621,-1.0343215465545654,7.864367961883545,0.0,0.0,0.0,179501008.0,253970.0,405.0,0.0
0.0,-10.183025360107422,-15.854372024536133,-1.0354585647583008,7.864367961883545,0.0,0.0,0.0,179507232.0,260188.0,405.0,0.0
0.0,-12.613602638244629,-18.284950256347656,-1.0354585647583008,7.865264892578125,0.0,0.0,0.0,179513152.0,266115.0,405.0,0.0
0.0,-13.018699645996094,-17.06966209411621,-1.036182165145874,7.865264892578125,0.0,0.0,0.0,179519088.0,272041.0,405.0,0.0
0.0,-12.613602638244629,-16.259469985961914,-1.036182165145874,7.866405487060547,0.0,0.0,0.0,179525600.0,278561.0,405.0,0.0
0.0,-13.42378044128418,-15.449275970458984,-1.0426944494247437,7.866961479187012,0.0,0.0,0.0,179532160.0,285122.0,405.0,0.0
0.0,-13.828877449035645,-17.47475814819336,-1.0426944494247437,7.866961479187012,0.0,0.0,0.0,179538672.0,291636.0,405.0,0.0
0.0,-12.613602638244629,-16.66456413269043,-1.0360270738601685,7.865528106689453,0.0,0.0,0.0,179545008.0,297962.0,405.0,0.0
0.0,-15.854372024536133,-16.66456413269043,-1.0360270738601685,7.865528106689453,0.0,0.0,0.0,179551568.0,304532.0,405.0,0.0
0.0,-14.233972549438477,-13.42378044128418,-1.0372158288955688,7.865528106689453,0.0,0.0,0.0,179558192.0,311155.0,405.0,0.0
