chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta
-19.905319213867188,0.0,-15.854372024536133,0.39017054438591003,7.6136627197265625,0.0,0.0,1.0,1539963264.0,153041.0,410.0,0.0
-21.120622634887695,0.0,-17.47475814819336,0.39017054438591003,7.612619400024414,0.0,0.0,1.0,1539969152.0,158922.0,410.0,0.0
-16.66456413269043,0.0,-14.639083862304688,0.39890533685684204,7.612619400024414,0.0,0.0,1.0,1539975168.0,164901.0,410.0,0.0
-21.525720596313477,0.0,-16.259469985961914,0.39890533685684204,7.612794876098633,0.0,0.0,1.0,1539981696.0,171433.0,410.0,0.0
-21.930814743041992,0.0,-15.449275970458984,0.3980783522129059,7.612794876098633,0.0,0.0,1.0,1539988224.0,177952.0,410.0,0.0
-21.930814743041992,0.0,-14.233972549438477,0.3980783522129059,7.613165378570557,0.0,0.0,1.0,1539994624.0,184466.0,410.0,0.0
-19.905319213867188,0.0,-15.044179916381836,0.3974064588546753,7.612287521362305,0.0,0.0,1.0,1540000000.0,189853.0,410.0,0.0
-20.715526580810547,0.0,-15.044179916381836,0.3974064588546753,7.612287521362305,0.0,0.0,1.0,1540006272.0,196037.0,410.0,0.0
-19.905319213867188,0.0,-15.449275970458984,0.3831413686275482,7.613682270050049,0.0,0.0,1.0,1540012288.0,202062.0,410.0,0.0
-19.5002384185791,0.0,-13.42378044128418,0.3831413686275482,7.613682270050049,0.0,0.0,1.0,1540018176.0,207938.0,410.0,0.0
-19.905319213867188,0.0,-16.66456413269043,0.3769908547401428,7.614959239959717,0.0,0.0,1.0,1540024064.0,213879.0,410.0,0.0
-19.5002384185791,0.0,-15.854372024536133,0.3769908547401428,7.614959239959717,0.0,0.0,1.0,1540030592.0,220442.0,410.0,0.0
-19.905319213867188,0.0,-15.449275970458984,0.3869144022464752,7.613428592681885,0.0,0.0,1.0,1540036096.0,225829.0,410.0,0.0
-19.095142364501953,0.0,-14.639083862304688,0.3869144022464752,7.613428592681885,0.0,0.0,1.0,1540042240.0,231999.0,410.0,0.0
-20.31041717529297,0.0,-15.044179916381836,0.39616602659225464,7.610766410827637,0.0,0.0,1.0,1540048128.0,237982.0,410.0,0.0
-20.31041717529297,0.0,-10.183025360107422,0.39616602659225464,7.610766410827637,0.0,0.0,1.0,1540054144.0,243910.0,410.0,0.0
-21.930814743041992,0.0,-15.449275970458984,0.3844335079193115,7.612473011016846,0.0,0.0,1.0,1540060160.0,249987.0,410.0,0.0
-20.31041717529297,0.0,-14.639083862304688,0.3844335079193115,7.612473011016846,0.0,0.0,1.0,1540066432.0,256213.0,410.0,0.0
-19.5002384185791,0.0,-15.449275970458984,0.3673257529735565,7.612473011016846,0.0,0.0,1.0,1540073088.0,262844.0,410.0,0.0
-8.15754508972168,0.0,-12.20850658416748,0.3673257529735565,7.612473011016846,0.0,0.0,1.0,1540079616.0,269412.0,410.0,0.0
-21.525720596313477,0.0,-16.259469985961914,0.3746650218963623,7.613165378570557,0.0,0.0,1.0,1540084992.0,274799.0,410.0,0.0
-14.233972549438477,0.0,-10.993218421936035,0.3746650218963623,7.613165378570557,0.0,0.0,1.0,1540091264.0,281024.0,410.0,0.0
-4.511663913726807,0.0,-13.018699645996094,0.38241779804229736,7.6118292808532715,0.0,0.0,1.0,1540097024.0,286820.0,410.0,0.0
-18.284950256347656,0.0,-15.449275970458984,0.38241779804229736,7.6118292808532715,0.0,0.0,1.0,1540103040.0,292794.0,410.0,0.0
-20.31041717529297,0.0,-16.259469985961914,0.39208289980888367,7.612765312194824,0.0,0.0,1.0,1540109056.0,298882.0,410.0,0.0
-20.715526580810547,0.0,-16.259469985961914,0.39208289980888367,7.612765312194824,0.0,0.0,1.0,1540115584.0,305401.0,410.0,0.0
